% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,
% Date,"Mar 15 2021, 14:46",,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),cw_eh_ratio,"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.38,1.66666666666667,0,100,0.899569578598972,1800,6,60,539549.703753934,40080.9482467761,22394.0471797101,-7190237.39336873,6650690.97385961,100,380,-659337489.890469,100
0.39,1.66666666666667,0,10,1.24326398221259,1800,6,60,10747.923171593,-64228.0543093054,139230.238985462,932129.136524915,-942876.939812678,100,390,779206319.862512,10
0.39,1.66666666666667,0,50,0.946815169576846,1800,6,60,149702.780447016,8880.88089735898,33178.2370008974,-2395270.19312181,2245568.30695709,100,390,-443150783.821834,50
0.39,1.66666666666667,0,100,0.899834953909964,1800,6,60,539838.457665018,42702.7716567607,22273.5569347518,-7177903.89406004,6638082.0618008,100,390,-658443656.604679,100
0.4,1.66666666666667,0,10,1.24482229442488,1800,6,60,10784.0702815328,-65586.4733942241,141840.41826756,940473.845057374,-951258.029355079,100,400,785654454.712759,10
0.4,1.66666666666667,0,50,0.946500776902106,1800,6,60,149599.780389479,11016.4178712204,32968.4743544513,-2407225.59870564,2257626.46756559,100,400,-445674634.71479,50
0.4,1.66666666666667,0,100,0.900128424232262,1800,6,60,540162.130666522,45233.4437382396,22093.2977203566,-7162939.58397918,6622778.71383128,100,400,-657296938.676153,100
0.41,1.66666666666667,0,10,1.24564043952639,1800,6,60,10806.3282041832,-66630.4668854638,143715.931805629,945157.939718687,-955964.04350759,100,410,789156795.271386,10
0.41,1.66666666666667,0,50,0.946155807125213,1800,6,60,149486.214016404,13242.9381932804,32647.5578281672,-2419090.80005602,2269605.22604521,100,410,-448178417.468632,50
0.41,1.66666666666667,0,100,0.90045095209479,1800,6,60,540519.91207148,47649.2167750334,21859.7267645967,-7145455.31401848,6604945.96479418,100,410,-655905841.596184,100
0.42,1.66666666666667,0,10,1.24578481195296,1800,6,60,10815.8870244828,-67386.7923172431,144907.850959822,946479.958760993,-957295.69301419,100,420,789962636.471291,10
0.42,1.66666666666667,0,50,0.945790455357543,1800,6,60,149364.468772024,15529.2650757106,32228.5944911185,-2430725.98140604,2281361.28148565,100,420,-450633425.631437,50
0.42,1.66666666666667,0,100,0.900801546849298,1800,6,60,540909.434932453,49930.6395199399,21578.9256958013,-7125627.61237446,6584720.45607794,100,420,-654285197.962744,100
0.43,1.66666666666667,0,10,1.24532382527165,1800,6,60,10813.9193898044,-67881.9333328181,145471.546015884,944739.113097743,-955553.034269297,100,430,788317727.649712,10
0.43,1.66666666666667,0,50,0.945407370996206,1800,6,60,149236.799210643,17845.5032690414,31724.1079349368,-2442006.65904464,2292773.43309479,100,430,-453013867.317934,50
0.43,1.66666666666667,0,100,0.901176902091928,1800,6,60,541329.227999565,52061.3262620303,21256.9968766369,-7103588.93957736,6562260.33621366,100,430,-652446114.79236,100
0.44,1.66666666666667,0,10,1.24431633829834,1800,6,60,10801.5576446033,-68142.4137767109,145464.27322321,940227.543024594,-951029.004078045,100,440,784459712.343722,10
0.44,1.66666666666667,0,50,0.9450076312184,1800,6,60,149104.876626669,20165.0821178819,31146.0186239797,-2452841.32315531,2303736.93403371,100,440,-455300440.708577,50
0.44,1.66666666666667,0,100,0.90157536114636,1800,6,60,541777.35500904,54031.9260153221,20899.7760852393,-7079483.34532704,6537706.08541806,100,440,-650401367.947956,100
0.45,1.66666666666667,0,10,1.24282857684602,1800,6,60,10779.8946500496,-68195.1431244043,144943.74039939,933229.613885937,-944009.639491519,100,450,778619106.009958,10
0.45,1.66666666666667,0,50,0.944597312903974,1800,6,60,148970.489129492,22466.1685542009,30505.5789466053,-2463141.12318717,2314170.76733427,100,450,-457475067.397817,50
0.45,1.66666666666667,0,100,0.901992985689004,1800,6,60,542251.90155625,55832.5408180081,20512.6521059588,-7053451.76949074,6511203.67433502,100,450,-648163360.219515,100
0.46,1.66666666666667,0,10,1.24091239641695,1800,6,60,10749.9589273389,-68065.2652543222,143966.554676131,924015.260444647,-934765.224330011,100,460,771012700.929856,10
0.46,1.66666666666667,0,50,0.944182414710704,1800,6,60,148834.958395439,24725.5019014223,29812.9544292591,-2472842.66726902,2324009.02618797,100,460,-459523840.654499,50
0.46,1.66666666666667,0,100,0.902426825690583,1800,6,60,542750.997143917,57458.0234025465,20100.6888595579,-7025645.07126995,6482897.57809403,100,460,-645745798.50291,100
0.47,1.66666666666667,0,10,1.23863334535035,1800,6,60,10712.7241347417,-67774.1171068885,142587.437886931,912841.913795944,-923554.98780277,100,470,761844175.469006,10
0.47,1.66666666666667,0,50,0.943763578307038,1800,6,60,148699.475929851,26926.8703903194,29077.8411267261,-2481892.36205659,2333196.80779204,100,470,-461435831.558848,50
0.47,1.66666666666667,0,100,0.902876631694939,1800,6,60,543272.77583896,58905.1635535919,19668.5619211904,-6996195.84945097,6452924.5712931,100,470,-643160870.447793,100
0.48,1.66666666666667,0,10,1.23604204374195,1800,6,60,10669.092169084,-67351.1810709847,140858.451798803,899949.541068597,-910618.621471751,100,480,751311154.855256,10
0.48,1.66666666666667,0,50,0.943343506863209,1800,6,60,148565.013458446,29054.7501576197,28308.7956091538,-2490256.15452852,2341692.34223069,100,480,-463203581.871877,50
0.48,1.66666666666667,0,100,0.903339578647273,1800,6,60,543815.348675112,60173.6779151543,19220.6467965306,-6965232.23449662,6421419.22929388,100,480,-640420596.291662,100
