% Model,Evan_segmented_faraday_v6_suboptimal_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 15 2021, 18:04"
% Table,Probe Table 1 - 
% L (m),mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),resistance (Ω),"abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Resistor Power","ec.Ex*ec.Jx (W), Hall Power","ec.Jz*ec.Ez (W), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W), Total Channel Power","ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W), Joule Heating","Insulating boundary added to ends of channel (outdated, use L now) (mm)",Support of B_z function away from channel (mm),"ec.Ey*ec.Jy (W/m^3), Faraday Power",Sets chan width (y) to elec height (x) ratio
0.385,1.6666666666666667,0,0.001,0.3188881936746986,1800,6,60,12641.293190767787,-3411418.6882349392,3212496.8470353815,-2697408.689315649,2684714.713554939,100,385,-2.2713516801055467E8,100
0.385,1.6666666666666667,0,10,0.6272594084705828,1800,6,60,1.529900566844206E7,-358303.54657545366,502783.43003388203,-1.6482576731639162E7,1183569.0788738008,100,385,-1.511550601372494E9,100
0.385,1.6666666666666667,0,100,0.8588859925324779,1800,6,60,3428333.48708822,13263.699112133258,25029.28903881477,-9128170.365132906,5699848.651452784,100,385,-8.33314850298521E8,100
0.38999999999999996,1.6666666666666667,0,0.001,0.31861030227040493,1800,6,60,12588.694273285324,-3400641.706177294,3201981.652820176,-2709421.645020675,2696780.545049352,100,389.99999999999994,-2.2825105378759852E8,100
0.38999999999999996,1.6666666666666667,0,10,0.6271221463116278,1800,6,60,1.5279897890528282E7,-356898.6986866349,502228.1293566082,-1.6492263420621634E7,1212359.4699259587,100,389.99999999999994,-1.5125084410264864E9,100
0.38999999999999996,1.6666666666666667,0,100,0.8589569307224282,1800,6,60,3428597.107152998,14713.95193896249,24950.11653884866,-9127184.428737484,5698589.233864637,100,389.99999999999994,-8.333498633832E8,100
0.39499999999999996,1.6666666666666667,0,0.001,0.31832563325483126,1800,6,60,12536.515797769525,-3389196.0168777187,3191889.0446252446,-2721605.3727584924,2709015.92195492,100,394.99999999999994,-2.294816727732788E8,100
0.39499999999999996,1.6666666666666667,0,10,0.6269804028161496,1800,6,60,1.526118254019967E7,-355413.1034333042,501727.79441214405,-1.6501681957148625E7,1240494.0591315038,100,394.99999999999994,-1.5134542407388463E9,100
0.39499999999999996,1.6666666666666667,0,100,0.8590354691210585,1800,6,60,3428922.0651453747,16149.654111511214,24862.59979057531,-9125575.023462504,5696666.162377175,100,394.99999999999994,-8.333261161240455E8,100
0.39999999999999997,1.6666666666666667,0,0.001,0.318033527782857,1800,6,60,12484.789034362968,-3377141.96512986,3182205.563107547,-2733938.2348591783,2721400.7513315612,100,399.99999999999994,-2.3081834843971393E8,100
0.39999999999999997,1.6666666666666667,0,10,0.6268350243555051,1800,6,60,1.5242856339223402E7,-353857.51398046565,501280.4870848402,-1.6510836600675594E7,1267973.3828411875,100,399.99999999999994,-1.5143872339799807E9,100
0.39999999999999997,1.6666666666666667,0,100,0.8591206917883131,1800,6,60,3429302.430506029,17566.630256044748,24767.434865335206,-9123383.61536889,5694083.10803384,100,399.99999999999994,-8.332470618627388E8,100
0.40499999999999997,1.6666666666666667,0,0.001,0.3177414006251129,1800,6,60,12433.541021287716,-3364539.1816191934,3172917.1382596605,-2746403.1516857604,2733917.1300091846,100,404.99999999999994,-2.3225282802965683E8,100
