% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 19:52"
% Table,Probe Table 1 - 
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0.30000000000000004,0.6000000000000001,-1.8226408880923328E9,-1517.4891870959168,-1062.2483301240204,0.782377670659391,316.2614044577574,3.173112998276371E12,-8.168257146373419E8,-2.638920824684617E9,110,NaN,3.6342024318126082E9,1800,6,60
0.30000000000000004,0.7000000000000001,-1.3607834224699075E9,-1565.8609374682603,-1096.1087433065486,0.8164437356385951,451.76324340701734,3.378630576581256E12,-1.7306153181269526E9,-3.0904457729702654E9,110,NaN,3.8695840533500576E9,1800,6,60
0.30000000000000004,0.8,-3.632709262307464E7,-1613.241411114869,-1129.2752588068854,0.8727092655011586,708.4595089461258,3.586187983149372E12,-3.9400389144847326E9,-3.974245411999357E9,110,NaN,4.1073019134137483E9,1800,6,60
0.30000000000000004,0.9,3.976631847666069E9,-1761.3197246467996,-1232.9306532287906,1.108388373955545,1420.4235348615857,4.2747500409018027E12,-1.0714522008693012E10,-6.729560315371087E9,110,NaN,4.895919875048598E9,1800,6,60
0.4,0,-1.4539322516825407E9,-1185.2063027360396,-829.6490195133114,0.606092147470787,35.03933464175414,1.9356295001310935E12,8812968.732678657,-1.4449382230014858E9,110,NaN,2.216898496928961E9,1800,6,60
0.4,0.1,-1.5569843950221725E9,-1234.36257577363,-864.0586017038028,0.6316341376339174,65.41613020359807,2.0995190511166272E12,-1.3079816491464576E7,-1.5698489963055844E9,110,NaN,2.4046030649868402E9,1800,6,60
0.4,0.2,-1.6550990505630875E9,-1285.155748808749,-899.6140202486995,0.6582370020820743,101.84245554875062,2.2758616321425117E12,-5.4295619985759005E7,-1.7091325570513196E9,110,NaN,2.6065702300844874E9,1800,6,60
0.4,0.30000000000000004,-1.7372991681374652E9,-1337.2004235549548,-936.0454948463158,0.6858828156068103,146.478454379696,2.4639241751444033E12,-1.2969598767153859E8,-1.8666646759538288E9,110,NaN,2.8219604010243745E9,1800,6,60
0.4,0.4,-1.7831041688539925E9,-1389.9561791840158,-972.9747288107791,0.714639407481981,202.8575668870069,2.662174657646313E12,-2.671074897804082E8,-2.0497743844283893E9,110,NaN,3.0490189350279975E9,1800,6,60
0.4,0.5,-1.7537234682817936E9,-1442.8518103288482,-1010.0018761568891,0.7451182137541119,277.2211008435569,2.8686514619099155E12,-5.206845283946655E8,-2.273789670755294E9,110,NaN,3.2854991689734306E9,1800,6,60
0.4,0.6000000000000001,-1.5740247115057359E9,-1496.0668487660662,-1047.2526098084275,0.7796445774093701,381.74561878064173,3.0841559276367144E12,-1.0007940884346268E9,-2.5738587527648215E9,110,NaN,3.5323188863412676E9,1800,6,60
0.4,0.7000000000000001,-1.09468622211659E9,-1554.455739484932,-1088.1250600934272,0.8271932539949481,543.6515431555847,3.3295922288827954E12,-1.9479386826858733E9,-3.040908386277521E9,110,NaN,3.8134198755994854E9,1800,6,60
0.4,0.8,-8629166.57214305,-1649.8703035798087,-1154.9156254974198,0.9261644130733001,836.9660585705755,3.7508866399840312E12,-3.9662025826929584E9,-3.970883520991276E9,110,NaN,4.2959331596095E9,1800,6,60
0.4,0.9,2.2775611694910116E9,-2013.5274134113247,-1409.4770151470116,1.2816895896604754,1523.8069165214986,5.586623723015923E12,-9.285335088775759E9,-6.990956252156094E9,110,NaN,6.398423734306023E9,1800,6,60
0.5,0,-1.372040361334854E9,-1154.158888975523,-807.9157091666723,0.5904583904339745,31.05819527700009,1.8355470841219949E12,6764227.01799874,-1.3650651136229074E9,110,NaN,2.102272966782536E9,1800,6,60
0.5,0.1,-1.4680058951191268E9,-1204.3099243653783,-843.0216288548156,0.6167560531113959,64.3553713086219,1.9985308578415984E12,-1.8128630313578114E7,-1.4858655268514032E9,110,NaN,2.2889401378286047E9,1800,6,60
0.5,0.2,-1.5562005845262225E9,-1256.0266534992923,-879.2235402398414,0.6442256043391835,104.47832774166827,2.1738623386804607E12,-6.488606681585263E7,-1.6207373057583423E9,110,NaN,2.4897492783741956E9,1800,6,60
0.5,0.30000000000000004,-1.6253933117373044E9,-1309.0626437552446,-916.3489395245149,0.6730020046758606,153.68842174890608,2.3613218577469517E12,-1.4886927227536246E8,-1.7737962070158904E9,110,NaN,2.704448799137528E9,1800,6,60
0.5,0.4,-1.6566560873042135E9,-1363.3439455185805,-954.346061684375,0.703641989807973,215.58189304083814,2.5612100387672173E12,-2.9694748331275743E8,-1.9529555973085501E9,110,NaN,2.933383007893736E9,1800,6,60
0.5,0.5,-1.6184581772785695E9,-1419.5855528180361,-993.7154053080502,0.737753909289698,296.27864173377134,2.7768822820647666E12,-5.571826036498669E8,-2.1746869367564406E9,110,NaN,3.180394882822942E9,1800,6,60
0.5,0.6000000000000001,-1.459572850701241E9,-1481.297541733856,-1036.9140372769714,0.7798989355849548,407.0355900533563,3.0235623721600547E12,-1.0182436822773719E9,-2.476286280176952E9,110,NaN,3.462920397606379E9,1800,6,60
0.5,0.7000000000000001,-1.1026276194616382E9,-1561.8450409679997,-1093.2975995990691,0.8438176910893874,570.4574924950201,3.3613227410592646E12,-1.8534587303503087E9,-2.9532707299469237E9,110,NaN,3.849761192337043E9,1800,6,60
0.5,0.8,-4.6479694852446413E8,-1711.653331478987,-1198.1639848763432,0.9725283370149509,834.9186990545466,4.03706690765168E12,-3.449606836264011E9,-3.9078049044313283E9,110,NaN,4.623698677339092E9,1800,6,60
0.5,0.9,2.207016831035253E8,-2122.6424401029285,-1485.8579577695352,1.3003170583804373,1279.7810061077155,6.208518996221157E12,-6.934219472555663E9,-6.689597465097069E9,110,NaN,7.110687468828827E9,1800,6,60
0.6000000000000001,0,-1.2740955509637554E9,-1113.3078626927233,-779.3198319520253,0.5696614624015833,22.249598352943792,1.7079096024099019E12,7184171.678703097,-1.2666831515181725E9,110,NaN,1.9560883062676113E9,1800,6,60
0.6000000000000001,0.1,-1.3632016159705985E9,-1163.679932931249,-814.580476880948,0.5962480141034155,55.7155589111152,1.865956083560015E12,-1.7263541120669484E7,-1.380155235784053E9,110,NaN,2.1371007399398975E9,1800,6,60
0.6000000000000001,0.2,-1.4442612658454893E9,-1215.775815167375,-851.0477968956804,0.6242062103283599,96.05388636990766,2.03676689558835E12,-6.325634982690909E7,-1.5070919544914064E9,110,NaN,2.332732307044647E9,1800,6,60
0.6000000000000001,0.30000000000000004,-1.507702390250949E9,-1269.5874823224788,-888.7161730054645,0.653838281467473,145.27734975894555,2.2210564226949575E12,-1.4451392594022724E8,-1.6516198575121722E9,110,NaN,2.54380119993697E9,1800,6,60
0.6000000000000001,0.4,-1.5390855230370405E9,-1325.5698426913923,-927.90404277959,0.6860816914964817,206.39857090988275,2.421249577836059E12,-2.834147683461827E8,-1.8216372235724742E9,110,NaN,2.7730846990248437E9,1800,6,60
0.6000000000000001,0.5,-1.5178465895942397E9,-1385.5065795042217,-969.8599914011088,0.7231119720938769,284.11784654529595,2.6451573569732007E12,-5.1672538217251533E8,-2.033260277473523E9,110,NaN,3.0295288268841314E9,1800,6,60
0.6000000000000001,0.6000000000000001,-1.4181318033939993E9,-1454.75580646862,-1018.3347192767679,0.770124393273766,385.98492609891025,2.9161813377373013E12,-9.057193097355788E8,-2.3217031679135776E9,110,NaN,3.3399356767213316E9,1800,6,60
0.6000000000000001,0.7000000000000001,-1.219073540479749E9,-1548.0431808842784,-1083.6362437318578,0.8395378628279505,523.7904322787772,3.3021779192465005E12,-1.5561492196402538E9,-2.771281885287385E9,110,NaN,3.782021954756213E9,1800,6,60
0.6000000000000001,0.8,-9.543757360830985E8,-1702.9871490949706,-1192.0976233967633,0.9587291146375918,711.1723172919617,3.9962906713778984E12,-2.6643643021098657E9,-3.610216725603558E9,110,NaN,4.576997189838694E9,1800,6,60
0.6000000000000001,0.9,-9.396153057358613E8,-1992.6175545185906,-1394.840032520807,1.1707105588141664,931.7264853664942,5.471195478546679E12,-4.611874185931122E9,-5.530422386330679E9,110,NaN,6.266222452165145E9,1800,6,60
0.7000000000000001,0,-1.1627878343693438E9,-1062.8773245282816,-744.0182591915066,0.5438015854467959,10.669047088537356,1.5566845372550645E12,9113928.58687061,-1.1534487090537496E9,110,NaN,1.7828885179728801E9,1800,6,60
0.7000000000000001,0.1,-1.2437742196314306E9,-1111.9099983526926,-778.3413214145642,0.5697643134718421,41.9916572686258,1.703623407748866E12,-1.2183302117183173E7,-1.255634260033419E9,110,NaN,1.9511792787388663E9,1800,6,60
0.7000000000000001,0.2,-1.3176526933917663E9,-1162.6849265806727,-813.8839684778837,0.5971505502403205,79.5266086281219,1.8627664704373105E12,-5.258735370286516E7,-1.369774893959708E9,110,NaN,2.1334476397277787E9,1800,6,60
