% Model,Untitled.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.5.0.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Oct 17 2020, 19:42",,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Probe Table 1 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
0.3,0.6,-1.97E+09,-1554.220545,-1177.612373,0.891903131,201.356916,1.33E+13,7.69E+07,-1.89E+09,190,380,-109.603023,127.8086602,-4454.988004,154.4618133,5597.043287,9.362688447,-108.6379602,99.41982756,-1305.22267,155.9716007,1738.085206,54.96058346,-109.4098943,-54.85670023,-787.1419267,155.604102,1054.824647,62.30850614
0.3,0.7,-2.14E+09,-1625.236931,-1216.758327,0.914052647,211.6702929,1.46E+13,6.77E+07,-2.07E+09,190,380,-111.2406884,249.4321162,-5932.470368,175.1375292,7863.039053,6.138215846,-109.7121578,181.7340933,-1605.546257,176.6236048,2236.517772,52.81606721,-110.3477828,-31.05030373,-948.9538326,175.941354,1326.899403,59.49851803
0.3,0.8,-2.33E+09,-1700.101857,-1259.440044,0.938265508,223.3404007,1.59E+13,5.62E+07,-2.27E+09,190,380,-109.7276668,635.3014485,-8460.675251,208.71361,12295.15197,3.183366323,-107.4022009,342.917554,-2065.791187,209.2424907,3089.722905,47.24685769,-107.920515,39.47842584,-1193.443222,208.2729598,1781.965352,51.20262386
0.4,0,-1.16E+09,-1283.474105,-1035.47831,0.836312318,185.9624355,9.08E+12,9.29E+07,-1.07E+09,190,380,-93.07066758,19.67066292,-1793.183312,113.5134019,2209.343378,48.36157297,-91.45004736,14.79405805,-682.7484255,111.1626768,870.3442408,49.07989512,-92.30275181,-56.69435421,-455.0239277,110.839058,564.2006245,59.42129344
0.4,0.1,-1.24E+09,-1326.444732,-1058.174025,0.847241373,192.397546,9.70E+12,9.04E+07,-1.15E+09,190,380,-95.78858681,28.70932275,-2004.164778,118.9250183,2489.551523,49.90979239,-94.2637021,23.31942772,-745.0448191,116.6296671,954.3077333,50.80242087,-95.09148582,-57.49575729,-492.5352028,116.2187912,616.1684958,60.57328056
0.4,0.2,-1.32E+09,-1372.071017,-1082.445918,0.859055192,199.2614153,1.04E+13,8.74E+07,-1.23E+09,190,380,-98.52574251,41.43844952,-2274.212068,125.234476,2853.995445,51.47160336,-97.11344384,35.31264541,-821.6838458,123.0046577,1058.844523,52.49469715,-97.90799243,-57.83174447,-538.1158291,122.48574,680.7886428,61.65881134
0.4,0.3,-1.41E+09,-1420.499727,-1108.449714,0.871806722,206.6270712,1.11E+13,8.39E+07,-1.32E+09,190,380,-101.2010952,59.82227286,-2630.561481,132.7887667,3344.353802,52.86726088,-99.92405824,52.61594649,-918.1987027,130.6406902,1192.571895,53.99146525,-100.6753748,-57.4050432,-594.7360264,129.9869199,763.353852,62.60233644
0.4,0.4,-1.51E+09,-1471.818753,-1136.345722,0.88556026,214.5594648,1.19E+13,7.97E+07,-1.43E+09,190,380,-103.6682224,87.19913948,-3118.147463,142.1384575,4031.605052,53.49098964,-102.5476261,78.33555797,-1042.957705,140.0865021,1368.903187,53.66338356,-103.2450516,-56.10845107,-666.7908145,139.2637901,872.1885669,63.02415328
0.4,0.5,-1.61E+09,-1526.011624,-1166.29502,0.900396655,223.1368329,1.28E+13,7.49E+07,-1.54E+09,190,380,-105.6624312,129.4417065,-3813.966308,154.1831747,5042.459811,51.9350616,-104.7269564,117.9225935,-1209.167351,152.2553302,1609.739665,52.60001978,-105.3608814,-53.45750951,-761.038127,151.2241374,1021.050314,61.81854907
0.5,0,-1.15E+09,-1276.494824,-1035.528798,0.83689288,231.5650555,8.98E+12,9.43E+07,-1.06E+09,190,380,-91.60995168,41.55265997,-2093.509382,116.494735,2628.159448,47.1082943,-90.04715112,35.47283189,-759.1580812,114.1005843,982.4531697,47.97145754,-90.87923101,-53.62714908,-501.492553,113.7524769,635.3290505,57.18011413
